,neutral,calm,happy,sad,angry,fearful,disgust,surprised
Logistic Regression,41.86046511627907,60.75949367088608,43.24324324324324,43.58974358974359,55.42168674698795,54.285714285714285,55.55555555555556,62.33766233766234
Random Forest,0.0,23.34384858044164,0.0,0.0,0.0,0.0,8.51063829787234,0.0
SVM,47.05882352941176,61.53846153846154,61.111111111111114,50.0,68.4931506849315,64.93506493506493,57.14285714285714,69.33333333333334
ANN,44.44444444444444,70.0,54.54545454545454,50.0,66.66666666666666,60.24096385542169,64.93506493506493,63.63636363636363
CNN,29.629629629629626,65.1685393258427,0.0,13.333333333333334,54.90196078431373,47.05882352941176,44.230769230769226,71.05263157894737
